Asset,Cluster
X1,6
X2,6
X3,4
X4,5
X5,3
X6,5
X7,2
X8,5
X9,10
X10,10
X11,5
X12,5
X13,5
X14,7
X15,5
X16,4
X17,7
X18,7
X19,6
X20,7
X21,7
X22,5
X23,6
X24,6
X25,10
X26,7
X27,5
X28,10
X29,7
X30,1
X31,7
X32,1
X33,4
X34,5
X35,2
X36,5
X37,1
X38,5
X39,7
X40,7
X41,6
X42,2
X43,2
X44,2
X45,7
X46,1
X47,2
X48,2
X49,5
X50,5
X51,10
X52,7
X53,5
X54,10
X55,5
X56,3
X57,7
X58,8
X59,7
X60,6
X61,10
X62,10
X63,10
X64,2
X65,5
X66,2
X67,5
X68,5
X69,4
X70,10
X71,2
X72,6
X73,2
X74,7
X75,5
X76,4
X77,5
X78,7
X79,7
X80,5
X81,5
X82,4
X83,5
X84,7
X85,5
X86,4
X87,2
X88,7
X89,5
X90,2
X91,10
X92,10
X93,2
X94,9
X95,2
X96,2
X97,10
X98,4
X99,7
X100,3
